epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2737.05,0.64096,0.34878,0.96659,0.97581,0.97988,0.98872,0.76503,0.96906,0.38973,1.13386,0.000241375,0.000241375,0.000241375
64,2779.08,0.63148,0.34475,0.95876,0.97868,0.97729,0.9902,0.77122,0.97703,0.41729,1.13495,0.000235188,0.000235188,0.000235188
65,2821.29,0.62655,0.33456,0.95751,0.98268,0.96851,0.98888,0.77682,0.9607,0.40253,1.1305,0.000229,0.000229,0.000229
66,2864.19,0.62663,0.33699,0.95515,0.97346,0.9785,0.98895,0.7745,0.95493,0.38872,1.13001,0.000222813,0.000222813,0.000222813
67,2906.4,0.61951,0.33368,0.95257,0.98038,0.97657,0.9877,0.76676,0.98405,0.40873,1.15741,0.000216625,0.000216625,0.000216625
68,2948.54,0.61624,0.33082,0.95176,0.9868,0.9732,0.99023,0.77185,0.95819,0.39542,1.12828,0.000210437,0.000210437,0.000210437
69,2990.87,0.60615,0.32093,0.9483,0.97877,0.97223,0.98922,0.76748,0.97537,0.41001,1.1468,0.00020425,0.00020425,0.00020425
70,3033.31,0.60816,0.32616,0.95103,0.98734,0.97305,0.99003,0.77589,0.9704,0.39845,1.13612,0.000198063,0.000198063,0.000198063
71,3075.37,0.59685,0.3212,0.94987,0.98668,0.97894,0.9894,0.77415,0.97446,0.39599,1.14455,0.000191875,0.000191875,0.000191875
72,3117.31,0.59325,0.31931,0.94763,0.99254,0.97615,0.98781,0.77063,0.9816,0.39728,1.14677,0.000185688,0.000185688,0.000185688
73,3160.1,0.59534,0.31916,0.94921,0.99027,0.98011,0.98944,0.77721,0.97169,0.39223,1.14278,0.0001795,0.0001795,0.0001795
74,3202.04,0.57885,0.31195,0.93758,0.99073,0.97286,0.98778,0.77659,0.97754,0.37726,1.14816,0.000173313,0.000173313,0.000173313
75,3244.12,0.58285,0.31456,0.93953,0.98701,0.9746,0.98808,0.77032,0.9833,0.39565,1.14843,0.000167125,0.000167125,0.000167125
76,3286.48,0.57012,0.30785,0.9369,0.97807,0.97298,0.9878,0.77801,0.9695,0.40196,1.14091,0.000160938,0.000160938,0.000160938
77,3329.09,0.5767,0.31061,0.94038,0.98534,0.97658,0.98873,0.77945,0.97363,0.40739,1.14426,0.00015475,0.00015475,0.00015475
78,3371.31,0.56131,0.30351,0.93134,0.98799,0.97149,0.98617,0.77329,0.9766,0.40826,1.15181,0.000148563,0.000148563,0.000148563
79,3413.71,0.5764,0.31372,0.93837,0.98582,0.96642,0.9872,0.77391,0.97773,0.41027,1.14868,0.000142375,0.000142375,0.000142375
80,3456.78,0.55429,0.29976,0.92621,0.98372,0.97508,0.98863,0.77653,0.96878,0.39776,1.1508,0.000136187,0.000136187,0.000136187
81,3499.02,0.54955,0.30128,0.92546,0.98514,0.9751,0.98962,0.77721,0.97934,0.4077,1.15465,0.00013,0.00013,0.00013
82,3541.26,0.54639,0.30215,0.92481,0.98352,0.9708,0.98891,0.76985,0.97808,0.39935,1.15442,0.000123812,0.000123812,0.000123812
83,3584.16,0.54111,0.29764,0.92737,0.98766,0.97281,0.9895,0.77536,0.97596,0.39813,1.15576,0.000117625,0.000117625,0.000117625
84,3626.21,0.53646,0.29811,0.92192,0.9864,0.97164,0.9885,0.77522,0.97731,0.40022,1.16041,0.000111438,0.000111438,0.000111438
85,3668.52,0.52848,0.28984,0.92215,0.98404,0.97445,0.98851,0.77935,0.96534,0.39561,1.14867,0.00010525,0.00010525,0.00010525
86,3711.37,0.53501,0.29516,0.92278,0.98453,0.97452,0.9892,0.77453,0.99163,0.40365,1.17632,9.90625e-05,9.90625e-05,9.90625e-05
87,3754.1,0.5277,0.29392,0.9221,0.97881,0.97536,0.9894,0.77479,0.97468,0.40119,1.16539,9.2875e-05,9.2875e-05,9.2875e-05
88,3796.48,0.5215,0.28636,0.91245,0.98147,0.97447,0.98758,0.77657,0.96998,0.39086,1.17038,8.66875e-05,8.66875e-05,8.66875e-05
89,3841.53,0.51361,0.28149,0.91435,0.98245,0.97776,0.98798,0.77331,0.98443,0.39824,1.17726,8.05e-05,8.05e-05,8.05e-05
90,3884.09,0.51161,0.28129,0.9167,0.98274,0.97449,0.98906,0.77259,0.97912,0.40144,1.17452,7.43125e-05,7.43125e-05,7.43125e-05
