epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,4038.74,0.69975,0.36696,1.0285,0.97246,0.97876,0.98533,0.76307,0.90869,0.35031,1.22398,0.000215443,0.000215443,0.000215443
66,4098.79,0.69958,0.36447,1.02274,0.97403,0.97484,0.98689,0.77106,0.93976,0.36197,1.2584,0.000209622,0.000209622,0.000209622
67,4160.42,0.69567,0.36677,1.02542,0.97689,0.97947,0.98796,0.76786,0.93298,0.36485,1.28159,0.000203801,0.000203801,0.000203801
68,4222.73,0.68415,0.36285,1.02118,0.9783,0.98004,0.98683,0.765,0.97104,0.35635,1.29338,0.00019798,0.00019798,0.00019798
69,4286.03,0.67304,0.35767,1.01013,0.97494,0.97677,0.98533,0.76773,0.92149,0.34215,1.25009,0.000192158,0.000192158,0.000192158
70,4347.99,0.66341,0.35435,1.00859,0.97321,0.97488,0.98649,0.76807,0.91878,0.34418,1.25836,0.000186337,0.000186337,0.000186337
71,4411.13,0.66735,0.35609,1.00602,0.97547,0.97642,0.98615,0.76505,0.92664,0.35596,1.25603,0.000180516,0.000180516,0.000180516
72,4474.26,0.66023,0.35145,1.0092,0.97452,0.97652,0.98751,0.77278,0.92592,0.34787,1.25956,0.000174695,0.000174695,0.000174695
73,4538.9,0.66555,0.35111,1.01046,0.97868,0.97631,0.98782,0.76715,0.90995,0.34413,1.23872,0.000168874,0.000168874,0.000168874
74,4601.15,0.64438,0.34475,0.99796,0.9643,0.98558,0.98773,0.76982,0.92659,0.34438,1.28083,0.000163052,0.000163052,0.000163052
75,4664.43,0.65812,0.35055,1.00827,0.96679,0.97643,0.9861,0.77078,0.90485,0.34749,1.24627,0.000157231,0.000157231,0.000157231
76,4727.12,0.64379,0.34518,1.00144,0.96605,0.97755,0.98553,0.7634,0.93782,0.35573,1.28985,0.00015141,0.00015141,0.00015141
77,4790,0.63477,0.33848,0.99073,0.96733,0.97244,0.98599,0.76879,0.93236,0.36627,1.28532,0.000145589,0.000145589,0.000145589
78,4853.39,0.62745,0.33682,0.99272,0.96595,0.98353,0.98745,0.77052,0.92423,0.36233,1.26915,0.000139768,0.000139768,0.000139768
79,4919.85,0.62485,0.33758,0.98426,0.97246,0.97711,0.98582,0.76934,0.92017,0.34889,1.27876,0.000133946,0.000133946,0.000133946
80,4983.57,0.62783,0.33881,0.9955,0.9665,0.98255,0.98589,0.76948,0.92347,0.35044,1.26883,0.000128125,0.000128125,0.000128125
81,5045.24,0.61067,0.32717,0.98021,0.97318,0.97838,0.98732,0.7666,0.92945,0.35299,1.26188,0.000122304,0.000122304,0.000122304
82,5107.07,0.61078,0.32736,0.98196,0.97243,0.97541,0.98585,0.76601,0.92744,0.34365,1.27682,0.000116483,0.000116483,0.000116483
