epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,870.873,0.66822,0.44312,1.04891,0.96326,0.98957,0.9782,0.82239,0.67811,0.36279,1.1047,0.000296953,0.000296953,0.000296953
61,885.07,0.62365,0.42301,1.02756,0.95147,0.98182,0.97289,0.81534,0.68547,0.37972,1.08027,0.000289884,0.000289884,0.000289884
62,899.524,0.64882,0.43585,1.03307,0.95423,0.98272,0.97294,0.8239,0.69317,0.3844,1.12343,0.000282815,0.000282815,0.000282815
63,914.056,0.63633,0.43857,1.02496,0.96774,0.98887,0.98264,0.84244,0.68434,0.36897,1.08787,0.000275747,0.000275747,0.000275747
64,928.688,0.65547,0.44006,1.04576,0.94937,0.99091,0.98067,0.82559,0.69885,0.37156,1.11333,0.000268678,0.000268678,0.000268678
65,943.042,0.6426,0.43446,1.02945,0.95975,0.97408,0.98065,0.83769,0.64607,0.3577,1.09301,0.00026161,0.00026161,0.00026161
66,957.127,0.63807,0.42773,1.02838,0.95776,0.98965,0.98007,0.82865,0.6688,0.34752,1.09368,0.000254541,0.000254541,0.000254541
67,971.312,0.62848,0.42571,1.02016,0.95822,0.97684,0.98052,0.83945,0.65609,0.35804,1.09443,0.000247472,0.000247472,0.000247472
68,985.95,0.62628,0.4165,1.02425,0.95609,0.98885,0.98167,0.81444,0.76263,0.38342,1.14125,0.000240404,0.000240404,0.000240404
69,1000.1,0.61684,0.41161,1.0166,0.95302,0.98672,0.9754,0.83534,0.66367,0.33403,1.0971,0.000233335,0.000233335,0.000233335
70,1014.23,0.60038,0.40208,1.01074,0.95452,0.99091,0.98017,0.82661,0.69666,0.3547,1.0963,0.000226267,0.000226267,0.000226267
71,1028.44,0.61138,0.40767,1.0075,0.95728,0.98965,0.98176,0.83452,0.67898,0.34565,1.10932,0.000219198,0.000219198,0.000219198
72,1043.24,0.59578,0.40104,1.00888,0.96204,0.98282,0.98367,0.83942,0.66313,0.34784,1.086,0.000212129,0.000212129,0.000212129
73,1057.8,0.5813,0.38285,0.98987,0.95966,0.97887,0.98285,0.8295,0.68061,0.34804,1.0913,0.000205061,0.000205061,0.000205061
74,1072.17,0.58693,0.3919,0.99233,0.96035,0.98864,0.98326,0.83248,0.69117,0.35773,1.10699,0.000197992,0.000197992,0.000197992
75,1086.6,0.54816,0.37147,0.98842,0.96301,0.98346,0.97736,0.82607,0.69163,0.37405,1.11528,0.000190924,0.000190924,0.000190924
76,1100.66,0.57728,0.39508,0.98657,0.96411,0.98539,0.98242,0.82645,0.68562,0.33827,1.11972,0.000183855,0.000183855,0.000183855
77,1115.13,0.5637,0.38319,0.99139,0.9674,0.98727,0.98402,0.82598,0.70642,0.36466,1.12274,0.000176786,0.000176786,0.000176786
78,1129.4,0.57262,0.39126,0.99282,0.96749,0.98236,0.98275,0.8337,0.68658,0.34785,1.09284,0.000169718,0.000169718,0.000169718
79,1143.81,0.56798,0.38873,0.989,0.96002,0.98496,0.98414,0.837,0.67893,0.34765,1.11285,0.000162649,0.000162649,0.000162649
80,1158.13,0.54001,0.36498,0.97936,0.96298,0.98478,0.98207,0.83558,0.69771,0.36576,1.11244,0.000155581,0.000155581,0.000155581
81,1172.5,0.57539,0.38289,0.99753,0.96317,0.98276,0.97988,0.84091,0.6658,0.35658,1.10586,0.000148512,0.000148512,0.000148512
82,1187.17,0.54523,0.36429,0.98558,0.96424,0.98917,0.98147,0.84047,0.68506,0.34837,1.10411,0.000141443,0.000141443,0.000141443
83,1201.64,0.56549,0.37813,0.98685,0.95956,0.98719,0.98058,0.83469,0.68969,0.35087,1.12815,0.000134375,0.000134375,0.000134375
84,1215.82,0.53118,0.36791,0.9701,0.96506,0.99091,0.97862,0.82548,0.70001,0.337,1.11567,0.000127306,0.000127306,0.000127306
85,1230.08,0.53368,0.3664,0.97295,0.95952,0.98846,0.98082,0.83831,0.66927,0.33296,1.10806,0.000120238,0.000120238,0.000120238
86,1244.28,0.53879,0.36909,0.97881,0.96428,0.99091,0.98127,0.83349,0.66571,0.33491,1.11436,0.000113169,0.000113169,0.000113169
87,1258.26,0.50039,0.34077,0.95299,0.9689,0.98286,0.98401,0.84612,0.65558,0.34098,1.11882,0.0001061,0.0001061,0.0001061
88,1272.5,0.51758,0.35082,0.97653,0.97037,0.98525,0.98422,0.8321,0.68513,0.34589,1.11603,9.90318e-05,9.90318e-05,9.90318e-05
89,1286.81,0.51406,0.35683,0.96988,0.97095,0.98645,0.98422,0.84932,0.66688,0.33973,1.11138,9.19632e-05,9.19632e-05,9.19632e-05
90,1301.19,0.50012,0.34605,0.95731,0.97037,0.99011,0.98242,0.83942,0.67906,0.3446,1.11291,8.48946e-05,8.48946e-05,8.48946e-05
91,1317.43,0.40505,0.25767,0.90487,0.96643,0.99014,0.97762,0.83672,0.67855,0.3352,1.10238,7.7826e-05,7.7826e-05,7.7826e-05
92,1331.58,0.38327,0.24457,0.89288,0.96428,0.98695,0.9804,0.84081,0.6752,0.32958,1.10558,7.07574e-05,7.07574e-05,7.07574e-05
93,1345.56,0.38124,0.23861,0.88818,0.96894,0.97895,0.98451,0.84319,0.67626,0.3337,1.10078,6.36888e-05,6.36888e-05,6.36888e-05
94,1359.31,0.36434,0.22802,0.88139,0.96767,0.97878,0.98697,0.83758,0.66823,0.33417,1.11502,5.66202e-05,5.66202e-05,5.66202e-05
95,1373.25,0.36106,0.23217,0.87924,0.96676,0.97886,0.98427,0.83753,0.68492,0.33853,1.12411,4.95516e-05,4.95516e-05,4.95516e-05
96,1387.21,0.35338,0.22686,0.86909,0.96844,0.98223,0.98451,0.83813,0.66615,0.33189,1.11915,4.2483e-05,4.2483e-05,4.2483e-05
97,1401.21,0.35213,0.22412,0.88545,0.96845,0.98346,0.98376,0.84344,0.67328,0.33128,1.1188,3.54144e-05,3.54144e-05,3.54144e-05
98,1415.01,0.34341,0.22175,0.87472,0.96901,0.9841,0.98697,0.85149,0.66538,0.3226,1.12179,2.83458e-05,2.83458e-05,2.83458e-05
99,1428.92,0.33836,0.21834,0.87027,0.96983,0.9835,0.98622,0.84085,0.67889,0.33148,1.12719,2.12772e-05,2.12772e-05,2.12772e-05
100,1442.87,0.33952,0.21671,0.86874,0.96981,0.98304,0.98451,0.8358,0.67664,0.32949,1.12945,1.42086e-05,1.42086e-05,1.42086e-05
